split,scene,family,condition,degradation,true_siting,base_kernel,mode,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
development,dev_00102_straight_ridge,straight,ridge,triangle,left,jinc2,algo6,0.0035872505325501886,34.326275175451485,0.037666129128270075,0.0,-0.08661698824832917,0.08661698824832917,0.07675680133932243,1.6742712850575205,0.03905001593132814,3.5124165671212334e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,jinc3,plain,0.003012700146237193,35.5007429793863,0.03084721190570928,0.0,0.000740608165262938,0.000740608165262938,0.06497226930398767,1.372800466403443,0.03279551351442933,2.306132089524042e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,jinc3,algo6,0.0030010349731895564,35.42060834446578,0.030703193110195485,0.0,-0.0554242710000946,0.0554242710000946,0.06966487777497726,1.3532559210294701,0.03266851905555952,7.3618832088652114e-09
development,dev_00102_straight_ridge,straight,ridge,triangle,left,jinc4,plain,0.0034404323731237405,35.22891594762376,0.0326597196219609,7.34525244860422e-11,0.0007807964047350831,0.0007807964047350831,0.06279299386790944,1.4493837241015568,0.03745177053358583,2.217434701465425e-08
development,dev_00102_straight_ridge,straight,ridge,triangle,left,jinc4,algo6,0.003368554989731339,35.15199434146994,0.0323506237717928,7.34525244860422e-11,-0.06271621614370902,0.06271621614370902,0.06807110007819399,1.4229666504897633,0.03666931920729223,1.3304608208792551e-08
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,bilinear,plain,0.0035713814314113647,35.01579231489021,0.0372325775302735,0.0,0.00018835080816657186,0.00018835080816657186,0.07874032194970551,1.420283378443601,0.03887725444067092,0.004614856382388444
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,bilinear,algo6,0.0037157771625743923,34.86737629977092,0.03869159616177361,0.0,-0.08280492385841963,0.08280492385841963,0.08388892579216775,1.3767391151477615,0.040449111278922784,0.0065165840455197865
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,bicubic_catrom,plain,0.003344923922442559,35.976292871715366,0.03458906777133225,0.0,0.00032971259532274137,0.00032971259532274137,0.07019615680058815,1.1125458245841962,0.03641197814916571,0.00832635808425645
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,bicubic_catrom,algo6,0.0034449537044365613,35.8207091475252,0.03562416363044057,0.0,-0.061030491509731784,0.061030491509731784,0.07416811287227905,1.0999795205802794,0.037500877709438406,0.009360583377115074
development,dev_00102_straight_ridge,straight,ridge,bicubic,left,bicubic_sharp,plain,0.003305359458877082,36.15067999615265,0.03411338485441428,0.0,0.0003914882017405456,0.0003914882017405456,0.0684777391338955,1.0656038382437678,0.03598124584892676,0.008781697900433625
