study,scene,seed,family,condition,degradation,true_siting,observation,motion,base,bm,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10_noise,,algo6_jinc3,0,0.005966605674551656,36.712046076883695,0.02652222512924276,0.0037647062986035876,-0.007469745839529196,0.007469745839529196,0.017765648451167057,0.9166839801960953,0.0306041925214231,0.004953918756828422
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10_noise,,algo6_jinc3,1,0.004412368490265512,37.03003633011607,0.025720387566079375,0.002114629385427439,-0.007204830542671186,0.007204830542671186,0.023159207685746617,0.9133104580093057,0.028646836389920542,0.004031217457460505
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10_noise,,algo6_lanczos4,0,0.006559087010844579,36.554837172829416,0.02678959565907592,0.004309124408921759,-0.0073147070924791295,0.0073147070924791295,0.017925880976533068,0.9193485716871614,0.03204462883461799,0.0049828963681301545
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,left,q10_noise,,algo6_lanczos4,1,0.004815519193819655,36.959175339216635,0.025927805102106675,0.0024459246695706888,-0.007064934993583923,0.007064934993583923,0.021442358368981302,0.9158321560894156,0.02989067148328537,0.0039914065384350364
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,clean,,algo2_lanczos3,0,0.0034641735401608606,34.926557093607975,0.03537572793725087,0.0,-0.00011236248889156557,0.00011236248889156557,0.03816279642949513,1.564295353649782,0.03771020986494564,1.9158635820661274e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,clean,,algo2_lanczos3,1,0.0034201677601590538,34.95811539696283,0.03511878613267309,6.208192124696714e-06,-0.0007376727241347139,0.0007376727241347139,0.03739995983923602,1.5481623887183567,0.03716038513396468,9.239711086186798e-09
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,clean,,algo6_jinc3,0,0.00256180895405552,36.590003313658194,0.0259969397904483,0.0,-0.00026653976889316294,0.00026653976889316294,0.016188995742906685,1.0948154347945156,0.027887271051960334,1.623162201472691e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,clean,,algo6_jinc3,1,0.002506203369907399,36.611892894820926,0.025590536496695546,5.890303457688008e-06,0.00033381056275179805,0.00033381056275179805,0.02435327532125287,1.0887219133801902,0.02719748980321345,6.816198150878739e-09
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,clean,,algo6_lanczos4,0,0.0026600644261073484,36.56497936704862,0.026131551216513754,0.0,-0.0002577116787811917,0.0002577116787811917,0.015153325011581242,1.1052219768064182,0.028956845580112366,2.24404391788301e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,clean,,algo6_lanczos4,1,0.002593859975860304,36.594589962002175,0.025861173652672386,3.834873149614959e-06,0.00018906041917559385,0.00018906041917559385,0.021684614454215805,1.0987236568429792,0.028148599279423554,1.1179653747723995e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10,,algo2_lanczos3,0,0.0037336231620189054,34.928088625178184,0.035534192675029205,0.0002853974833020142,0.0003024605946513537,0.0003024605946513537,0.03928502492415245,1.5682428758989868,0.03805574442126921,3.3019376652581352e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10,,algo2_lanczos3,1,0.0036847745912436773,34.96848797348485,0.035280976931613306,0.0002877818596538245,0.000417679691690915,0.000417679691690915,0.03763077452457293,1.5553306711929675,0.037505334110132287,1.8087171372913179e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10,,algo6_jinc3,0,0.0028309373362086867,36.58446959040219,0.02617080857098266,0.0002853974833020142,-0.0002862940941399912,0.0002862940941399912,0.016166183847883497,1.0961838583944856,0.02823746579122685,2.7191958257130215e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10,,algo6_jinc3,1,0.0027724109839465465,36.60660732327487,0.025766424439141355,0.0002878659953629332,0.00028583676457123665,0.00028583676457123665,0.02433387994089559,1.0901350771527372,0.027577741315499657,1.2634055955069407e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10,,algo6_lanczos4,0,0.0029318871702034687,36.55858939880913,0.026317488416593517,0.0002853974833020142,-0.0003147416503269186,0.0003147416503269186,0.015129366915079552,1.1067970504494773,0.029324051391865526,3.6066131932394844e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10,,algo6_lanczos4,1,0.0028604879074436563,36.588009815084845,0.026034885206778807,0.0002875947171733493,5.202726630679354e-05,5.202726630679354e-05,0.0218070388652873,1.1007154540613096,0.028508790857380346,2.298681508927118e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10_noise,,algo2_lanczos3,0,0.007493945831598351,34.5391807887929,0.038235302766370945,0.004162611864947914,0.0020212633795928525,0.0020212633795928525,0.040468408988339206,1.5763042164207564,0.04325930632296063,0.003591329854403046
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10_noise,,algo2_lanczos3,1,0.005934703298168092,34.79013006620163,0.03764448043268874,0.0024721541738558913,0.0028570280932475626,0.0028570280932475626,0.037956975129148314,1.5637056261388578,0.041656425976682274,0.0029039411484042092
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10_noise,,algo6_jinc3,0,0.006251162934558064,36.11784949044524,0.02906874708276605,0.0037685946538528825,0.0011045418871754957,0.0011045418871754957,0.018743966351088666,1.0808092444852928,0.03332770748862198,0.00466073208233519
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10_noise,,algo6_jinc3,1,0.004738640189959809,36.391280443065575,0.0284341415846852,0.0021428447452351627,0.0005648352709382127,0.0005648352709382127,0.0243210056240238,1.0769097601515951,0.03164957636701209,0.0038411236448501725
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10_noise,,algo6_lanczos4,0,0.006775044109027866,35.981520227103914,0.029270183319178095,0.004262218747975393,0.0011090963438394092,0.0011090963438394092,0.01915524114554964,1.097779820806502,0.03441524596530057,0.004280382890664484
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,triangle,center,q10_noise,,algo6_lanczos4,1,0.005096164360038075,36.32523826375773,0.028515552546315076,0.002480886640287714,0.0006379245314319924,0.0006379245314319924,0.024820709761108905,1.0916314097409794,0.03237278648607787,0.0033329783005423713
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,clean,,algo2_lanczos3,0,0.0033321557776099177,36.21054705247103,0.0334764452734037,0.0,-0.0148815168815627,0.0148815168815627,0.042398085948628574,1.0854531025575622,0.03626682888716459,0.007964910628894964
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,clean,,algo2_lanczos3,1,0.0032649676841071252,36.26387614605641,0.033036390506562645,4.129618727823808e-06,-0.014072375218948167,0.014072375218948167,0.04222279257592603,1.0805517155968394,0.03549186730136474,0.007635629577894828
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,clean,,algo6_jinc3,0,0.0029217577369694513,37.73488132300316,0.028883536572764223,0.0,-0.006476242496314437,0.006476242496314437,0.015440524192012244,0.7414354992481984,0.03180043221939178,0.010104029178841128
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,clean,,algo6_jinc3,1,0.0028778599674600023,37.758250919552545,0.028604438230364133,3.5278561491785306e-06,-0.006752727502888435,0.006752727502888435,0.02078030457297182,0.7400532604629431,0.03128189349635726,0.009864388255491144
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,clean,,algo6_lanczos4,0,0.002981802779719402,37.73441930259672,0.028138815132132594,3.2277741757709354e-07,-0.0063357741174337534,0.0063357741174337534,0.015187915677614789,0.7397875573990422,0.03241395176432672,0.009869048859746684
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,bicubic,left,clean,,algo6_lanczos4,1,0.002893467567782513,37.78448655518255,0.027797820339617915,5.806245358793863e-06,-0.0063438151933901225,0.0063438151933901225,0.01880941085439242,0.7389062952493433,0.03142096157673569,0.009269744928349696
