split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
test,test_01001_chevron_coedge,chevron,coedge,triangle,left,left,lgcr_plain_jinc,0.0033369574363257804,33.86270936933083,0.03403718475856078,0.0,0.0587124467914946,0.0587124467914946,0.07163718071133394,1.4799466272017865,0.037091784844441075,3.139887537275042e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,left,left,ablate_similarity,0.0027121780112391047,36.13939507911325,0.02813263858307177,0.0,-0.05186306852798958,0.05186306852798958,0.10137617789941906,1.3603539244108354,0.03014708503282496,3.4059797014508927e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,left,left,ablate_plus_rescue,0.0026872329274783523,36.293430768648854,0.02787071520358387,0.0,-0.05732686842895417,0.05732686842895417,0.09453908847185481,1.3616022627741766,0.029869809103686185,3.4059797014508927e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,left,left,ablate_plus_anisotropy,0.0026828474181058806,36.31590867506357,0.02782466735517292,0.0,-0.05793717126432322,0.05793717126432322,0.09421328640889172,1.3606628911368328,0.029821062837505623,3.4059797014508927e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,left,left,lgcr_algo2,0.002705469402194457,36.29590515622737,0.02790671578017758,0.0,-0.05676821835783316,0.05676821835783316,0.09420216318701864,1.3693606678597936,0.03007251469950591,3.1487572760809036e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,left,left,ablate_algo6_ungated,0.0024667684018701234,35.85111814950177,0.02515714514835227,0.0,0.014517097599795343,0.014517097599795343,0.06525566852219512,1.1496035707921584,0.027419255425532658,3.7164205596560524e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,left,left,ablate_algo6_plus_q,0.0025178075067511627,35.73838663635413,0.025563080520766692,0.0,0.01620010530905787,0.01620010530905787,0.06551733341065855,1.1637929645235214,0.027986575749569705,3.521286305927095e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,left,left,lgcr_algo6,0.0025234436129319715,35.72501478488983,0.02559751811460436,0.0,0.016479531596491966,0.016479531596491966,0.06552287128938131,1.1647497952645463,0.02804922320259114,3.503546828315372e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,center,center,lgcr_plain_jinc,0.0040997100433655545,32.8928808776357,0.04189455730190838,0.0,-0.008582126293038275,0.008582126293038275,0.073108802231374,1.7682376392772543,0.04557009551319338,2.0755188805716377e-08
test,test_01001_chevron_coedge,chevron,coedge,triangle,center,center,ablate_similarity,0.002984123876496572,35.52991430707369,0.031069581499065992,0.0,-0.015213923880956347,0.015213923880956347,0.09361244159770213,1.4270867163845118,0.03316986090725377,2.1642162686302548e-08
